Schoolid	City	CHASEYEAR	SUMIntersection	NbrTrafSignals	NbrCrossingGuard	NbrSchools	ShapeAreakm	Highwaykm	MinorRoadkm	MajorRoadkm	roadcovkm	SumComkm	SumGouvkm	SumOpenAreakm	SumParkkm	SumReskm	SumIndkm	ISPH1116	OPDbPC60Less	Pop2016	Pop2011	STDMulti	SUMOneway	BikeClass01	BikeClass02	BikeClass03	BikeClassAll	AG112	AG117	AG012	AG017	NbrRaisedCrosswalk	SpeedHumpkm	NbrTrafficCircles	NbrMidBlockNarrowings	NbrCurbExtension	NbrDiverter	NbrCrosswalk	NbrFlashingCrosswalk	NbrSpeedActivatedSign
"SUR109"	"SUR"	2019.0	246.0	11.0	0.0	2.0	3.956676343	2.217187991	26.46970672	17.43716552	46.12406023			0.974525673	0.253201912	2.697213531	0.00514058	396.3588206	44.78503078	6213.939993	5881.433228	499.1397959		0.0	7.257168137	4.612435801	11.86960394	694.357384	1077.293606	739.6701111	1122.606333	1.0	0.514279712	2.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR11"	"SUR"	2019.0	89.0	1.0	0.0	2.0	6.020069793		13.18925105	12.80719687				2.922287741	0.033826965	3.063929725	1.55061E-6	349.7373302	86.96865227	5602.870265	3451.6687	593.1521467		0.0	1.367095482	6.106062706	7.473158188	954.0342737	1238.800846	1055.134331	1339.900903	0.0	0.82305325	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR113"	"SUR"	2019.0	104.0	3.0	0.0	2.0	2.502318184	2.948307605	17.33233415	4.962367278	25.24300903			0.72782438		1.718605602		373.7165118	1.459241349	5759.69943	5941.434351	242.2873346		0.0	1.646629233	3.955627132	5.602256365	760.2568874	1204.272575	797.8906461	1241.906334	0.0	1.424861243	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR115"	"SUR"	2019.0	38.0	5.0	0.0	2.0	1.151836298		8.045146157	2.394990893		1.92479E-6	0.061269702	7.15059E-4	0.267818448	0.822031164		309.1188949	246.0060791	4038.20807	3862.689098	643.7295351		0.231396752	2.833009666	1.518883604	4.583290022	580.1935706	883.2654556	629.9948227	933.0667078	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR116"	"SUR"	2019.0	13.0	4.0	0.0	1.0	0.523391513		2.133999861	2.374467362		0.066116986	0.031716236	0.007865948	0.045639728	0.341761947	0.030290673	1181.075204	191.836449	5393.41069	5127.717876	1985.347023		0.0	0.436238905	1.099828999	1.536067903	946.8874621	1299.107277	1005.380882	1357.600697	2.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR117"	"SUR"	2019.0	65.0	3.0	0.0	2.0	1.164623003		10.38168446	4.376442558			0.006762696	0.007886333		1.149973955		381.3392668	285.349837	4739.971562	4229.023712	1453.352462		2.049612673	0.0	0.77557399	2.825186664	610.3902041	841.9796025	648.9719576	880.561356	0.0	0.775624224	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR118"	"SUR"	2019.0	94.0	1.0	0.0	1.0	2.708747499	9.831083284	16.15162282	4.562489613	30.54519572			1.22846847		1.22709091	0.251567792	378.9411889	21.19194247	4865.622091	4731.109887	419.2326826		0.422119492	2.590933903	4.176028221	7.189081617	699.7143831	1113.73831	733.6884791	1147.712406	0.0	1.023711567	2.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR119"	"SUR"	2019.0	57.0	0.0	0.0	1.0	1.477500328	2.780800367	12.08422402	1.060463701	15.92548809		0.038138342	0.603765542		0.771959944	0.038469231	235.4825565	8.045694375	3299.238892	3382.348533	202.847201		0.0	0.0	1.528165785	1.528165785	440.6624001	748.4390201	463.0867043	770.8633244	1.0	1.580389985	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR12"	"SUR"	2019.0	99.0	2.0	0.0	1.0	1.718083044		15.21139331	4.430185412				0.494623153		1.223459884		71.26969789	9.938349338	5148.326259	3866.042537	294.5254147		0.0	5.12252253	4.721688487	9.844211017	1053.427985	1387.311902	1112.46923	1446.353148	1.0	1.009464554	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SUR120"	"SUR"	2019.0	62.0	3.0	0.0	1.0	2.237131584	3.107074614	15.21023535	2.495639253	20.81294922		0.030329595	1.007103519	0.007567787	1.17994277		171.3378436	235.3913088	4126.311049	3917.301276	655.1256394		0.0	0.691326363	3.497448168	4.188774531	561.2832278	788.0240501	608.611467	835.3522893	1.0	0.763256639	0.0	0.0	0.0	0.0	0.0	0.0	0.0
