Schoolid	Entropie1000m	City	SUMIntersection	NbrSchools	PropIntersectionKm	SUMOnewaykm	PropOneWayKm	NbrCrossingGuard	PropCrossingGuardKm	NbrTrafSignals	Pop2016	Pop2011	Highwaykm	MajorRoadkm	MinorRoadkm	roadcovkm	ShapeAreakm	ISPH1116	OPDbPC60Less	STDMulti	SumParkkm	SumReskm	SumComkm	SumIndkm	SumOpenAreakm	SumGouvkm	CHASEYEAR	BikeClass01	BikeClass02	BikeClass03	BikeClassAll	AG112	AG117	AG012	AG017	NbrRaisedCrosswalk	SpeedHumpkm	NbrTrafficCircles	NbrMidBlockNarrowings	NbrCurbExtension	NbrDiverter	NbrCrosswalk	NbrFlashingCrosswalk	NbrSpeedActivatedSign
"LAV4424"	0.525090259	"LAV"	118.0	3.0	6.0	4.47	22.86	3.0	0.153	2.0	4215.215168	4269.245447	0.0	3.420468242	16.13738673	19.55785497	1.251808005	125.2887859	820.4095913	1003.517227	0.116638851	0.863116642	0.01913167	0.049639747	0.022929444	0.18035164	2019.0	0.376389392	0.0	0.0	0.376389392	514.9462459	742.8948912	549.5202007	777.4688459	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0
"LAV4423"	0.281443462	"LAV"	197.0	5.0	6.9	4.784	16.82	1.0	0.035	8.0	5377.22458	5336.277932	0.0	6.123396167	22.32440855	28.44780472	1.59249984	80.12718539	804.080471	240.6824414	0.048758607	1.393635078	0.063874544		0.038936776	0.047294831	2019.0	0.092480339	0.0	0.991961335	1.084441674	667.4098083	994.5596845	706.0277519	1033.177628	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"LAV4421"	0.233075291	"LAV"	88.0	2.0	5.0	1.185	6.8	2.0	0.115	2.0	4101.506647	3950.89051	0.0	4.08992629	13.34777614	17.43770243	1.458975286	45.46626843	81.04202167	191.9488865	0.011643221	1.240438954			0.206893114		2019.0	0.613936434	0.0	2.166005645	2.779942079	627.9746052	901.2650453	663.1848524	936.4752925	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"TOR609"	0.739484895	"TOR"	15.0	2.0	2.6	2.058	35.89	3.0	0.523	7.0	14682.51277	13604.82581	0.0	4.518905196	1.215838594	5.73474379	1.237812656	2740.910661	988.2576102	4857.203106	0.444336127	0.266133567	0.065066168	0.380278073	0.055974445	0.025494858	2018.0	0.0	2.308500676	0.0	2.308500676	3216.43796	4179.744743	3469.982106	4433.28889	0.0		0.0	0.0	0.0	0.0	0.0	3.0	0.0
"LAV4417"	0.241305323	"LAV"	148.0	6.0	6.3	4.781	20.24	1.0	0.042	7.0	4146.297849	4129.304811	0.044997271	3.689549423	19.8880152	23.62256189	1.196167802	37.85567991	667.0858562	32.89785772	0.041290972	1.064246093	0.001974858		0.027548828	0.061107054	2018.0	0.092480339	0.0	2.429621018	2.522101357	520.8808686	787.3543941	551.2920567	817.7655822	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"LAV4415"	0.099682766	"LAV"	119.0	6.0	5.4	5.628	25.58	2.0	0.091	2.0	9005.962816	8288.428174	0.0	6.877519055	15.12416446	22.00168352	1.440557043	494.7794545	310.55983	2251.858335	0.002081261	1.385448178			0.028268536	0.024759086	2018.0	0.790079806	0.0	0.0	0.790079806	1349.96101	1848.7965	1454.029213	1952.864703	0.0	0.233338936	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"LAV4406"	0.568522549	"LAV"	113.0	5.0	6.3	8.357	46.55	1.0	0.056	11.0	7219.91249	7152.862242	0.0	7.109583177	10.84281184	17.95239502	1.423517419	594.7914638	641.2952119	2296.571291	0.027536353	0.877271497	0.061307963	0.016782433	0.11943667	0.321182497	2019.0	1.493167797	0.104940867	4.648757783	6.246866447	725.0528762	978.8748541	785.4051651	1039.227143	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"LAV2744"	0.344402596	"LAV"	46.0	2.0	3.8	0.011	0.09	1.0	0.083	5.0	2410.375493	2357.062009	0.0	4.267791271	7.761555891	12.02934716	1.223887506	25.02378309	131.020756	185.2061735	0.252738393	0.921204135			0.04994499		2019.0	1.219436934	0.0	0.563084601	1.782521535	355.9612577	496.5291489	381.8150506	522.3829419	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"TOR677"	0.485730325	"TOR"	57.0	2.0	4.2	0.325	2.41	1.0	0.074	5.0	6719.898899	6668.415309	0.001413191	2.54425713	10.91756857	13.46323889	1.103102254	573.0461712	578.4293717	1223.17568	0.146347191	0.794957611	0.035958614	0.030823759	0.005231722	0.089783376	2018.0	0.0	0.0	0.0	0.0	1030.39029	1412.450299	1103.831378	1485.891387	0.0		0.0	0.0	0.0	0.0	0.0	2.0	1.0
"LAV4403"	0.347510787	"LAV"	76.0	1.0	6.1	3.318	26.68	1.0	0.08	2.0	3314.90365	3318.128108	0.0	3.787053449	8.647998799	12.43505225	0.870171046	169.447911	153.2748057	473.7509382	6.30818E-4	0.65677064	0.023698491		0.183525125		2018.0	1.74069251	0.201168692	0.502124873	2.443986075	388.8368494	577.8957329	412.1878362	601.2467197	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
